date,total_pnl,median_pnl,trade_count,win_rate,total_volume,avg_trade_size,long_ratio,fg_value,classification,is_profitable,weekend,cumulative_pnl,sentiment_group,fg_yest,pnl_yest,vol_yest,target,intensity_q,sharpe_proxy
2024-01-26,90.2,0.0,5,0.2,11773.21,2354.642,0.8,49.0,Neutral,True,False,-8104.926173999999,Neutral,52.0,-3093.6293849999997,66566.13,0.0,Mid-Low,0.0544740947185028
2024-01-28,-2478.06972,-68.216526,11,0.0,18109.03,1646.2754545454545,0.0,54.0,Neutral,False,True,-10582.995894,Neutral,49.0,90.2,11773.21,1.0,Mid-Low,-1.4047191593102595
2024-01-29,486.562542,0.0479375,74,0.6081081081081081,414208.18,5597.407837837838,0.28378378378378377,55.0,Greed,True,False,-10096.433352,Greed,54.0,-2478.06972,18109.03,0.0,Mid-Low,0.2714871030517195
2024-01-30,-173.65419100000003,0.0,49,0.10204081632653061,401011.38,8183.905714285715,0.5714285714285714,61.0,Greed,False,False,-10270.087543,Greed,55.0,486.562542,414208.18,0.0,Mid-Low,-0.11344725586819862
2024-01-31,-799.840817,0.0,859,0.2689173457508731,6305647.13,7340.683504074505,0.5471478463329453,60.0,Greed,False,False,-11069.92836,Greed,61.0,-173.65419100000003,401011.38,0.0,Mid-Low,-0.5330606508047887
2024-02-01,0.0,0.0,6,0.0,2008.18,334.69666666666666,1.0,63.0,Greed,False,False,-11069.92836,Greed,60.0,-799.840817,6305647.13,1.0,Mid-Low,0.0
2024-02-02,456.423473,0.0,42,0.30952380952380953,474278.43,11292.343571428572,0.4523809523809524,63.0,Greed,True,False,-10613.504887,Greed,63.0,0.0,2008.18,1.0,Mid-Low,0.4409520149526908
2024-02-03,223.30918699999998,0.0,56,0.10714285714285714,603820.0,10782.5,0.32142857142857145,60.0,Greed,True,True,-10390.195699999998,Greed,63.0,456.423473,474278.43,1.0,Mid-Low,0.21357165216161736
2024-02-04,47.62389499999999,-0.02695,35,0.2571428571428571,203187.53,5805.358,0.5428571428571428,60.0,Greed,True,True,-10342.571804999998,Greed,60.0,223.30918699999998,603820.0,0.0,Mid-Low,0.10836475596507565
2024-02-05,-33.45419400000003,0.0,72,0.19444444444444445,770198.26,10697.198055555556,0.4583333333333333,60.0,Greed,False,False,-10376.025998999998,Greed,60.0,47.62389499999999,203187.53,0.0,Mid-Low,-0.08541990050159463
2024-02-06,-215.615907,0.0,1088,0.1645220588235294,8047153.41,7396.280707720588,0.47610294117647056,64.0,Greed,False,False,-10591.641905999997,Greed,60.0,-33.45419400000003,770198.26,1.0,Mid-Low,-0.546771703382066
2024-02-07,241.24212,0.0,15,0.13333333333333333,6758.73,450.582,0.4666666666666667,62.0,Greed,True,False,-10350.399785999996,Greed,64.0,-215.615907,8047153.41,1.0,Mid-Low,1.0929771892338147
2024-02-08,770.756024,0.0,10,0.4,26051.12,2605.112,0.2,66.0,Greed,True,False,-9579.643761999996,Greed,62.0,241.24212,6758.73,1.0,Mid-Low,2.3543433823836124
2024-02-11,983.443176,0.0,34,0.20588235294117646,212311.82,6244.465294117647,0.6764705882352942,71.0,Greed,True,True,-8596.200585999995,Greed,66.0,770.756024,26051.12,1.0,Mid-High,2.258345605671739
2024-02-12,913.8817869999998,-26.696452,16,0.375,227247.69999999998,14202.981249999999,0.6875,70.0,Greed,True,False,-7682.318798999995,Greed,71.0,983.443176,212311.82,1.0,Mid-High,1.854559867482318
2024-02-13,559.44389,30.05825,14,1.0,1999.99,142.85642857142858,0.0,79.0,Extreme Greed,True,False,-7122.874908999995,Greed,70.0,913.8817869999998,227247.69999999998,1.0,High,1.1863436436518573
2024-02-14,3830.599833,16.74,111,0.7477477477477478,320839.88,2890.4493693693694,0.3063063063063063,74.0,Greed,True,False,-3292.2750759999944,Greed,79.0,559.44389,1999.99,1.0,Mid-High,2.920937751721698
2024-02-15,1840.797677,13.15072,63,0.9047619047619048,185188.04,2939.4926984126987,0.8253968253968254,72.0,Greed,True,False,-1451.4773989999944,Greed,74.0,3830.599833,320839.88,1.0,Mid-High,1.5118539623144067
2024-02-16,5491.768834,11.42332,182,0.8021978021978022,564896.51,3103.826978021978,0.6318681318681318,72.0,Greed,True,False,4040.291435000006,Greed,72.0,1840.797677,185188.04,1.0,Mid-High,2.911560873359492
2024-02-17,1929.6418,4.1904,94,0.648936170212766,406118.07,4320.405,0.5319148936170213,76.0,Extreme Greed,True,True,5969.933235000006,Greed,72.0,5491.768834,564896.51,1.0,High,1.0698500547154146
2024-02-18,477.6248299999999,6.59648,97,0.6288659793814433,157048.17,1619.0532989690723,0.3917525773195876,72.0,Greed,True,True,6447.558065000006,Greed,76.0,1929.6418,406118.07,1.0,Mid-High,0.255357829142004
2024-02-19,4317.768563,10.73646,101,0.7623762376237624,286377.2,2835.417821782178,0.40594059405940597,75.0,Extreme Greed,True,False,10765.326628000006,Greed,72.0,477.6248299999999,157048.17,1.0,High,2.2290529153657284
2024-02-20,3263.628824,13.6526,39,0.7948717948717948,119419.72,3062.0441025641026,0.3333333333333333,72.0,Greed,True,False,14028.955452000006,Greed,75.0,4317.768563,286377.2,1.0,Mid-High,1.9080806342669154
2024-02-21,1858.7985700000002,25.544000000000004,22,0.6818181818181818,108047.51999999999,4911.250909090909,0.3181818181818182,78.0,Extreme Greed,True,False,15887.754022000006,Greed,72.0,3263.628824,119419.72,1.0,High,1.0823604953497519
2024-02-22,3894.1050699999996,0.0,88,0.45454545454545453,373033.87,4239.02125,0.3977272727272727,74.0,Greed,True,False,19781.859092000006,Greed,78.0,1858.7985700000002,108047.51999999999,1.0,Mid-High,2.2725730797558015
2024-02-23,1418.55293,7.189966,143,0.958041958041958,111106.14,776.966013986014,0.916083916083916,76.0,Extreme Greed,True,False,21200.412022000008,Greed,74.0,3894.1050699999996,373033.87,0.0,High,1.0110871613867916
